MAIN_ID,ra,dec,pmRA,pmDE,Vmag,Umag
*  75 Dra,307.0607610387497,+81.4227083536692,32.926,16.026,5.368,
HD 210056,332.9791011641938,-76.1160223357945,-59.382,-39.890,6.127,
HD 117558,202.8881987237647,-28.1127385003027,-77.682,3.894,6.478,
*  12 Cet,007.5098263573906,-03.9573285172301,9.545,-12.158,5.72,9.19
HD 101162,174.4515744354447,-67.6203778813717,-84.278,-11.036,5.929,
HD 203551,320.1059563908315,+60.6872261621123,4.485,-16.363,6.72,
HD  98671,169.9614573767098,-72.9582929244596,-43.324,-4.590,6.46,
HD 185114,293.7551433187396,+52.5020160740086,0.243,-34.637,6.38,
HD 131432,223.6579768714018,-33.3005700497204,-9.22,-5.21,5.834,
HD 128344,219.4786996129309,-48.0235635438209,-19.602,-8.110,6.639,
*   9 Sex,148.5279360531317,+04.9454154011314,-26.285,13.329,6.70,
* alf Cas,010.1268377829,+56.5373311583,50.88,-32.13,2.23,4.52
HD   1419,004.5718607015922,+11.2062163469903,-32.870,-28.082,6.045,
* tet Men,104.1436404401936,-79.4201924638434,-2.172,-1.176,5.449,
V* RS Sco,253.9075657511206,-45.1029761048632,23.507,-37.638,6.20,
HD  37061,083.8806889648567,-05.2673850427802,0.510,1.978,6.83,6.44
